,nyc,mia,yul,los,rio,hkg,sin,dac,msq,syd,edi,cpt,auh,bjs,del
aal,5970.0,7630.0,5570.0,5650.0,10200.0,8750.0,10100.0,7240.0,1170.0,16100.0,819.0,10200.0,5090.0,7240.0,6020.0
aar,6040.0,7690.0,5650.0,5570.0,10100.0,8750.0,10100.0,7210.0,1110.0,16100.0,866.0,10100.0,5010.0,7260.0,5970.0
abe,123.0,1710.0,552.0,8580.0,7810.0,12900.0,15300.0,12700.0,7210.0,15900.0,5330.0,12700.0,11100.0,11000.0,11800.0
abi,2460.0,2010.0,2660.0,10800.0,8580.0,12900.0,15500.0,13700.0,9160.0,13600.0,7440.0,14400.0,13100.0,11200.0,13200.0
abj,7950.0,8380.0,8010.0,818.0,5280.0,12600.0,12000.0,10200.0,6100.0,15900.0,5630.0,4960.0,6600.0,12100.0,8850.0
abq,2910.0,2720.0,2990.0,11400.0,9270.0,12300.0,14900.0,13200.0,9190.0,13100.0,7580.0,15000.0,13100.0,10600.0,12900.0
abv,8610.0,9320.0,8590.0,510.0,6530.0,11300.0,10700.0,8900.0,5310.0,15400.0,5290.0,4920.0,5290.0,10900.0,7560.0
abz,5260.0,6900.0,4890.0,5650.0,9690.0,9380.0,10800.0,7950.0,1900.0,16700.0,157.0,10300.0,5760.0,7790.0,6740.0
aca,3640.0,2250.0,3990.0,11200.0,7560.0,14300.0,16700.0,15400.0,10700.0,12800.0,8850.0,13600.0,14600.0,12700.0,15000.0
acc,8240.0,8740.0,8290.0,402.0,5650.0,12200.0,11600.0,9800.0,5920.0,15700.0,5600.0,4810.0,6200.0,11800.0,8470.0
ace,5550.0,6500.0,5490.0,3060.0,6570.0,12000.0,12600.0,9990.0,4310.0,18500.0,3110.0,7770.0,6690.0,10800.0,8580.0
ack,333.0,1960.0,552.0,8130.0,7640.0,12900.0,15200.0,12500.0,6860.0,16300.0,4940.0,12300.0,10800.0,11000.0,11500.0
acy,153.0,1610.0,671.0,8500.0,7660.0,13100.0,15500.0,12800.0,7260.0,15900.0,5360.0,12600.0,11200.0,11100.0,11900.0
add,11200.0,12400.0,11000.0,3910.0,9580.0,8130.0,7260.0,5710.0,5090.0,12600.0,6370.0,5230.0,2400.0,8300.0,4550.0
adl,17100.0,16100.0,17100.0,14500.0,13600.0,6860.0,5410.0,8260.0,14400.0,1160.0,16300.0,10100.0,11000.0,8630.0,9560.0
aep,8510.0,7100.0,9030.0,7900.0,1960.0,18500.0,15900.0,16700.0,12800.0,11800.0,11300.0,6870.0,13500.0,19300.0,15800.0
aer,8550.0,10200.0,8160.0,5420.0,11200.0,7080.0,7840.0,5070.0,1470.0,14100.0,3330.0,8870.0,2490.0,6130.0,3690.0
aes,5580.0,7290.0,5150.0,6230.0,10400.0,8690.0,10300.0,7390.0,1570.0,16000.0,909.0,10800.0,5540.0,7050.0,6240.0
aex,1960.0,1340.0,2250.0,10200.0,8000.0,13400.0,16000.0,13900.0,8930.0,14100.0,7110.0,13700.0,12900.0,11500.0,13300.0
aga,5810.0,6840.0,5710.0,2960.0,6920.0,11600.0,12200.0,9580.0,3940.0,18200.0,2880.0,7740.0,6290.0,10400.0,8160.0
agb,6420.0,7970.0,6080.0,4700.0,9560.0,9090.0,10100.0,7290.0,1310.0,16400.0,1280.0,9190.0,4630.0,7770.0,5970.0
agc,505.0,1630.0,758.0,8960.0,8000.0,12900.0,15400.0,12800.0,7470.0,15500.0,5620.0,13000.0,11400.0,10900.0,12000.0
agp,5870.0,7110.0,5700.0,3440.0,7760.0,10800.0,11500.0,8870.0,3110.0,17700.0,2140.0,8210.0,5730.0,9580.0,7470.0
